Ocupação;Quantitativo;Porcentagem;Data de carga
MEDICO;213;0,0435;29/03/2023 11:16
TECNICO CONTABILIDADE, ESTATISTICA, ECONOMIA DOMESTICA E ADMINISTRACAO;18;0,0037;29/03/2023 11:16
TECNICO DE ELETRICIDADE, ELETRONICA E TELECOMUNICACOES;17;0,0035;29/03/2023 11:16
TRABALHADOR DE FABRICACAO DE ARTEFATOS DE MADEIRA;2;0,0004;29/03/2023 11:16
CIENTISTA POLITICO;5;0,001;29/03/2023 11:16
FISCAL;7;0,0014;29/03/2023 11:16
SOCIOLOGO;8;0,0016;29/03/2023 11:16
APOSENTADO (EXCETO SERVIDOR PUBLICO);95;0,0194;29/03/2023 11:16
SERVIDOR PUBLICO MUNICIPAL;56;0,0114;29/03/2023 11:16
ESCRITOR E CRITICO;7;0,0014;29/03/2023 11:16
AGENTE POSTAL;5;0,001;29/03/2023 11:16
COZINHEIRO;2;0,0004;29/03/2023 11:16
TECNICO EM EDIFICACOES;2;0,0004;29/03/2023 11:16
PROGRAMADOR DE COMPUTADOR;3;0,0006;29/03/2023 11:16
SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;50;0,0102;29/03/2023 11:16
CONTADOR;46;0,0094;29/03/2023 11:16
ASSISTENTE SOCIAL;12;0,0024;29/03/2023 11:16
ANALISTA DE SISTEMAS;10;0,002;29/03/2023 11:16
COREOGRAFO E BAILARINO;1;0,0002;29/03/2023 11:16
SECURITARIO;5;0,001;29/03/2023 11:16
TRABALHADOR DE FABRICACAO E PREPARACAO DE ALIMENTOS E BEBIDAS;1;0,0002;29/03/2023 11:16
LEILOEIRO, AVALIADOR E ASSEMELHADOS;1;0,0002;29/03/2023 11:16
PUBLICITARIO;17;0,0035;29/03/2023 11:16
JORNALISTA E REDATOR;53;0,0108;29/03/2023 11:16
CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA;16;0,0033;29/03/2023 11:16
AGENTE DE SAUDE E SANITARISTA;3;0,0006;29/03/2023 11:16
DIPLOMATA;3;0,0006;29/03/2023 11:16
COMERCIANTE;271;0,0553;29/03/2023 11:16
EMPRESARIO;315;0,0643;29/03/2023 11:16
DESPACHANTE;8;0,0016;29/03/2023 11:16
ALFAIATE E COSTUREIRO;1;0,0002;29/03/2023 11:16
