Ocupação;Quantitativo;Porcentagem;Data de carga
SERVIDOR PUBLICO ESTADUAL;4;0,0115;29/03/2023 11:16
PROFESSOR DE ENSINO SUPERIOR;8;0,0229;29/03/2023 11:16
FARMACEUTICO;1;0,0029;29/03/2023 11:16
ADVOGADO;40;0,1146;29/03/2023 11:16
AGRICULTOR;2;0,0057;29/03/2023 11:16
SERVIDOR PUBLICO CIVIL APOSENTADO;5;0,0143;29/03/2023 11:16
COMUNICOLOGO;1;0,0029;29/03/2023 11:16
QUIMICO;1;0,0029;29/03/2023 11:16
MEMBRO DO MINISTERIO PUBLICO;1;0,0029;29/03/2023 11:16
TRABALHADOR DE CONSTRUCAO CIVIL;1;0,0029;29/03/2023 11:16
PRODUTOR AGROPECUARIO;1;0,0029;29/03/2023 11:16
SERVIDOR PUBLICO FEDERAL;13;0,0372;29/03/2023 11:16
ENGENHEIRO;16;0,0458;29/03/2023 11:16
BANCARIO E ECONOMIARIO;3;0,0086;29/03/2023 11:16
COMERCIARIO;2;0,0057;29/03/2023 11:16
ECONOMISTA;9;0,0258;29/03/2023 11:16
MINISTRO DO PODER JUDICIARIO E MAGISTRADO;1;0,0029;29/03/2023 11:16
PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;20;0,0573;29/03/2023 11:16
ODONTOLOGO;2;0,0057;29/03/2023 11:16
MEMBRO DAS FORCAS ARMADAS;2;0,0057;29/03/2023 11:16
POLICIAL CIVIL;2;0,0057;29/03/2023 11:16
ARQUITETO;2;0,0057;29/03/2023 11:16
ADMINISTRADOR;4;0,0115;29/03/2023 11:16
ZOOTECNISTA;1;0,0029;29/03/2023 11:16
MARINHEIRO CIVIL, CANOEIRO, EMBARCADO E ASSEMELHADOS;1;0,0029;29/03/2023 11:16
ENFERMEIRO;1;0,0029;29/03/2023 11:16
POLICIAL MILITAR;1;0,0029;29/03/2023 11:16
FOTOGRAFO E TRABALHADOR ASSEMELHADO;1;0,0029;29/03/2023 11:16
EMPRESARIO E PRODUTOR DE ESPETACULOS PUBLICOS;1;0,0029;29/03/2023 11:16
SECRETARIO,ESTENOGRAFO,DATILOGRAFO,RECEPCIONISTA,TELEFONISTA,TAQUIGRAF;2;0,0057;29/03/2023 11:16
TECNICO DE ENFERMAGEM E TRABALHADOR ASSEMELHADO (EXCETO ENFERMEIRO);1;0,0029;29/03/2023 11:16
GEOLOGO;1;0,0029;29/03/2023 11:16
DIRETOR DE EMPRESAS;1;0,0029;29/03/2023 11:16
TRABALHADOR DE USINAGEM DE METAIS;1;0,0029;29/03/2023 11:16
CORRETOR DE IMOVEIS, SEGUROS, TITULOS E VALORES;1;0,0029;29/03/2023 11:16
MEDICO;14;0,0401;29/03/2023 11:16
FISCAL;1;0,0029;29/03/2023 11:16
SOCIOLOGO;3;0,0086;29/03/2023 11:16
TECNICO DE ELETRICIDADE, ELETRONICA E TELECOMUNICACOES;2;0,0057;29/03/2023 11:16
APOSENTADO (EXCETO SERVIDOR PUBLICO);3;0,0086;29/03/2023 11:16
SERVIDOR PUBLICO MUNICIPAL;1;0,0029;29/03/2023 11:16
AGENTE POSTAL;2;0,0057;29/03/2023 11:16
ANALISTA DE SISTEMAS;1;0,0029;29/03/2023 11:16
CONTADOR;2;0,0057;29/03/2023 11:16
SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;1;0,0029;29/03/2023 11:16
JORNALISTA E REDATOR;16;0,0458;29/03/2023 11:16
PUBLICITARIO;1;0,0029;29/03/2023 11:16
EMPRESARIO;20;0,0573;29/03/2023 11:16
COMERCIANTE;8;0,0229;29/03/2023 11:16
PECUARISTA;4;0,0115;29/03/2023 11:16
MILITAR REFORMADO;2;0,0057;29/03/2023 11:16
LOCUTOR E COMENTARISTA DE RADIO E TELEVISAO E RADIALISTA;1;0,0029;29/03/2023 11:16
SENADOR, DEPUTADO E VEREADOR;51;0,1461;29/03/2023 11:16
AGENTE ADMINISTRATIVO;2;0,0057;29/03/2023 11:16
MECANICO DE MANUTENCAO;1;0,0029;29/03/2023 11:16
AGRONOMO;3;0,0086;29/03/2023 11:16
TRABALHADOR METALURGICO E SIDERURGICO;3;0,0086;29/03/2023 11:16
MUSICO;1;0,0029;29/03/2023 11:16
