Ocupação;Quantitativo;Porcentagem;Data de carga
MEDICO;572;0,0449;29/03/2023 11:16
TECNICO CONTABILIDADE, ESTATISTICA, ECONOMIA DOMESTICA E ADMINISTRACAO;80;0,0063;29/03/2023 11:16
TECNICO DE ELETRICIDADE, ELETRONICA E TELECOMUNICACOES;56;0,0044;29/03/2023 11:16
SOCIOLOGO;18;0,0014;29/03/2023 11:16
FISCAL;21;0,0016;29/03/2023 11:16
TRABALHADOR DE FABRICACAO DE ARTEFATOS DE MADEIRA;8;0,0006;29/03/2023 11:16
SERVIDOR PUBLICO MUNICIPAL;184;0,0144;29/03/2023 11:16
TECNICO EM EDIFICACOES;6;0,0005;29/03/2023 11:16
APOSENTADO (EXCETO SERVIDOR PUBLICO);216;0,017;29/03/2023 11:16
AGENTE POSTAL;12;0,0009;29/03/2023 11:16
OPERADOR DE EQUIPAMENTO MEDICO E ODONTOLOGICO;2;0,0002;29/03/2023 11:16
FIANDEIRO, TECELAO, TINGIDOR E TRABALHADOR ASSEMELHADO;2;0,0002;29/03/2023 11:16
PADEIRO, CONFEITEIRO E TRABALHADOR ASSEMELHADO;5;0,0004;29/03/2023 11:16
PROGRAMADOR DE COMPUTADOR;3;0,0002;29/03/2023 11:16
ESCRITOR E CRITICO;11;0,0009;29/03/2023 11:16
COZINHEIRO;6;0,0005;29/03/2023 11:16
OPERADOR DE INSTALACAO DE PRODUCAO DE ENERGIA ELETRICA E NUCLEAR;2;0,0002;29/03/2023 11:16
TRABALHADOR FLORESTAL;3;0,0002;29/03/2023 11:16
GUARDADOR DE VEICULOS;1;0,0001;29/03/2023 11:16
ANALISTA DE SISTEMAS;5;0,0004;29/03/2023 11:16
CONTADOR;88;0,0069;29/03/2023 11:16
ASSISTENTE SOCIAL;22;0,0017;29/03/2023 11:16
SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;124;0,0097;29/03/2023 11:16
SECURITARIO;6;0,0005;29/03/2023 11:16
TRABALHADOR DE FABRICACAO E PREPARACAO DE ALIMENTOS E BEBIDAS;3;0,0002;29/03/2023 11:16
LEILOEIRO, AVALIADOR E ASSEMELHADOS;1;0,0001;29/03/2023 11:16
JORNALISTA E REDATOR;125;0,0098;29/03/2023 11:16
AGENTE DE SAUDE E SANITARISTA;17;0,0013;29/03/2023 11:16
CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA;25;0,002;29/03/2023 11:16
PUBLICITARIO;50;0,0039;29/03/2023 11:16
ENGRAXATE;1;0,0001;29/03/2023 11:16
EMPRESARIO;731;0,0574;29/03/2023 11:16
COMERCIANTE;1006;0,079;29/03/2023 11:16
